GENE_SYMBOL,control,low_dose,high_dose
Acbd5,10.97033333333333,10.595583333333332,10.911916666666665
Acbd6,9.563500000000001,9.220333333333334,9.533166666666666
Accn5,7.297166666666667,7.120166666666667,7.215833333333333
Accs,7.797166666666667,7.690833333333333,8.275833333333333
Acd,6.778666666666667,6.883666666666667,6.6576666666666675
Ace,6.371166666666666,6.4195,6.474999999999999
Acer2,7.295333333333333,7.467666666666667,7.112333333333333
Acer3,8.01375,8.136916666666666,7.941333333333335
Acin1,8.180333333333335,8.254291666666667,8.288458333333335
Acly,8.547333333333333,9.959916666666667,8.719
Acmsd,6.081499999999999,6.138000000000001,5.933333333333334
Acn9,7.701,7.762666666666667,7.564166666666666
Acnat1,12.145999999999999,12.0575,12.064333333333332
Acnat2,9.831833333333334,10.179166666666665,9.783333333333333
Aco1,9.840333333333334,9.865583333333333,9.784333333333334
Aco2,12.911333333333333,12.847999999999999,12.771500000000001
Acot1,10.920666666666667,9.508666666666668,9.948833333333333
Acot10,7.4205,7.3445,7.1896666666666675
Acot11,6.1985,6.212833333333332,6.210166666666666
Acot12,11.314,10.636833333333334,11.3705
Acot13,12.916500000000001,13.218666666666666,13.219500000000002
Acot4,7.857833333333333,7.559583333333333,7.651583333333334
Acot6,6.732499999999999,6.617999999999999,6.809166666666667
Acot7,10.290166666666666,10.303833333333335,10.161333333333333
Acot8,11.460833333333335,11.329,11.366999999999999
Acot9,7.771666666666666,7.915000000000002,7.753833333333334
Acox1,12.800333333333334,12.605083333333333,12.845833333333333
Acox2,12.629,12.382833333333332,12.786833333333334
Acox3,10.021666666666667,10.028333333333334,9.968166666666667
Acp1,7.97775,8.0765,8.034416666666667
Acp2,8.442944444444445,8.442888888888888,8.423833333333333
Acp5,12.194666666666668,12.052166666666666,12.074833333333332
Acp6,12.466499999999998,12.293333333333335,12.321833333333332
Acpl2,9.054166666666667,9.108833333333333,9.209666666666665
Acr,6.093499999999999,6.153,6.240500000000001
Acrbp,6.699416666666668,6.507583333333333,6.5565
Acsf2,7.394666666666666,7.255,7.318666666666666
Acsf3,11.729999999999999,11.841666666666667,11.814
Acsl1,14.165055555555556,13.635222222222223,13.748944444444446
Acsl3,8.253499999999999,9.0255,8.459333333333333
Acsl4,10.55625,10.520083333333334,10.330333333333334
Acsl5,13.689666666666668,14.009,13.556333333333333
Acsm1,13.175000000000002,13.241833333333332,13.320166666666667
Acsm2,6.817749999999999,6.479916666666667,6.672750000000001
Acsm3,11.8075,11.797666666666666,11.661666666666667
Acsm5,11.616166666666667,11.567666666666668,11.585500000000001
Acss1,6.219333333333334,6.203833333333333,6.315833333333333
Acss2,10.022666666666666,10.669944444444445,9.773777777777777
Acss3,5.923333333333333,5.965833333333332,5.814999999999999
Acta2,8.049388888888888,8.028833333333333,8.110888888888889
Actb,9.286833333333332,8.9915,9.1285
Actc1,6.203500000000001,6.318166666666667,6.469333333333334
Actg1,10.541500000000001,10.759166666666667,10.694416666666667
Actg2,8.226666666666667,8.265833333333333,8.233333333333333
Actl6a,8.528416666666667,8.565333333333333,8.411083333333332
Actl7a,5.898499999999999,5.881333333333333,5.925166666666667
Actl9,5.852,5.884166666666668,5.9145
Actn1,7.0955,7.0255,6.916999999999999
Actn4,10.867333333333335,10.893833333333333,11.003
Actr10,11.956833333333334,11.946666666666665,11.964500000000001
Actr1a,11.259500000000001,11.395666666666669,11.354333333333335
Actr1b,9.05525,9.017666666666669,8.912833333333333
Actr2,12.314,12.077333333333334,12.161666666666667
Actr3,12.247,12.174,12.208833333333333
Actr5,9.605333333333334,9.402333333333333,9.444666666666667
Actr6,10.339333333333334,10.348833333333333,10.2565
Actr8,9.546833333333334,9.208333333333334,9.187833333333336
Acvr1,9.015166666666667,8.999666666666666,9.020333333333333
Acvr1b,8.549833333333334,8.527833333333334,8.734499999999999
Acvr2a,6.280166666666666,6.284833333333334,6.2564166666666665
Acvr2b,6.8741666666666665,6.6265,6.810833333333335
Acvrl1,6.126333333333332,6.068333333333334,6.182333333333333
Acy1,9.381333333333334,9.222166666666666,9.216166666666666
Acy3,12.086833333333333,11.688999999999998,12.012500000000001
Acyp1,10.167499999999999,10.173166666666667,10.039333333333333
Acyp2,6.622999999999998,7.142500000000001,6.8471666666666655
Ada,8.156666666666666,8.212833333333332,8.150166666666665
Adal,7.509166666666668,7.438416666666666,7.353833333333334
Adam10,5.995,5.7785,5.843166666666668
Adam11,7.652333333333334,7.742944444444444,8.3255
Adam15,6.562833333333334,6.611833333333333,6.580333333333333
Adam17,8.178083333333333,8.508416666666667,8.408083333333332
Adam1a,6.2124999999999995,6.282166666666668,6.228833333333334
Adam2,6.6031666666666675,6.3566666666666665,6.592666666666666
